threshold,fpr,tpr
0.705411,0.000000,0.000000
0.707415,0.000000,0.000000
0.709419,0.000000,0.000000
0.711423,0.000000,0.000000
0.713427,0.000000,0.000000
0.715431,0.000000,0.000000
0.717435,0.000000,0.000000
0.719439,0.000000,0.000000
0.721443,0.000000,0.000000
0.723447,0.000000,0.000000
0.725451,0.000000,0.000000
0.727455,0.000000,0.000000
0.729459,0.000000,0.000000
0.731463,0.000000,0.000000
0.733467,0.000000,0.000000
0.735471,0.000000,0.000000
0.737475,0.000000,0.000000
0.739479,0.000000,0.000000
0.741483,0.000000,0.000000
0.743487,0.000000,0.000000
0.745491,0.000000,0.000000
0.747495,0.000000,0.000000
0.749499,0.000000,0.000000
0.751503,0.000000,0.000000
0.753507,0.000000,0.000000
0.755511,0.000000,0.000000
0.757515,0.000000,0.000000
0.759519,0.000000,0.000000
0.761523,0.000000,0.000000
0.763527,0.000000,0.000000
0.765531,0.000000,0.000000
0.767535,0.000000,0.000000
0.769539,0.000000,0.000000
0.771543,0.000000,0.000000
0.773547,0.000000,0.000000
0.775551,0.000000,0.000000
0.777555,0.000000,0.000000
0.779559,0.000000,0.000000
0.781563,0.000000,0.000000
0.783567,0.000000,0.000000
0.785571,0.000000,0.000000
0.787575,0.000000,0.000000
0.789579,0.000000,0.000000
0.791583,0.000000,0.000000
0.793587,0.000000,0.000000
0.795591,0.000000,0.000000
0.797595,0.000000,0.000000
0.799599,0.000000,0.000000
0.801603,0.000000,0.000000
0.803607,0.000000,0.000000
0.805611,0.000000,0.000000
0.807615,0.000000,0.000000
0.809619,0.000000,0.000000
0.811623,0.000000,0.000000
0.813627,0.000000,0.000000
0.815631,0.000000,0.000000
0.817635,0.000000,0.000000
0.819639,0.000000,0.000000
0.821643,0.000000,0.000000
0.823647,0.000000,0.000000
0.825651,0.000000,0.000000
0.827655,0.000000,0.000000
0.829659,0.000000,0.000000
0.831663,0.000000,0.000000
0.833667,0.000000,0.000000
0.835671,0.000000,0.000000
0.837675,0.000000,0.000000
0.839679,0.000000,0.000000
0.841683,0.000000,0.000000
0.843687,0.000000,0.000000
0.845691,0.000000,0.000000
0.847695,0.000000,0.000000
0.849699,0.000000,0.000000
0.851703,0.000000,0.000000
0.853707,0.000000,0.000000
0.855711,0.000000,0.000000
0.857715,0.000000,0.000000
0.859719,0.000000,0.000000
0.861723,0.000000,0.000000
0.863727,0.000000,0.000000
0.865731,0.000000,0.000000
0.867735,0.000000,0.000000
0.869739,0.000000,0.000000
0.871743,0.000000,0.000000
0.873747,0.000000,0.000000
0.875752,0.000000,0.000000
0.877756,0.000000,0.000000
0.879760,0.000000,0.000000
0.881764,0.000000,0.000000
0.883768,0.000000,0.000000
0.885772,0.000000,0.000000
0.887776,0.000000,0.000000
0.889780,0.000000,0.000000
0.891784,0.000000,0.000000
0.893788,0.000000,0.000000
0.895792,0.000000,0.000000
0.897796,0.000000,0.000000
0.899800,0.000000,0.000000
0.901804,0.000000,0.000000
0.903808,0.000000,0.000000
0.905812,0.000000,0.000000
0.907816,0.000000,0.000000
0.909820,0.000000,0.000000
0.911824,0.000000,0.000000
0.913828,0.000000,0.000000
0.915832,0.000000,0.000000
0.917836,0.000000,0.000000
0.919840,0.000000,0.000000
0.921844,0.000000,0.000000
0.923848,0.000000,0.000000
0.925852,0.000000,0.000000
0.927856,0.000000,0.000000
0.929860,0.000000,0.000000
0.931864,0.000000,0.000000
0.933868,0.000000,0.000000
0.935872,0.000000,0.000000
0.937876,0.000000,0.000000
0.939880,0.000000,0.000000
0.941884,0.000000,0.000000
0.943888,0.000000,0.000000
0.945892,0.000000,0.000000
0.947896,0.000000,0.000000
0.949900,0.000000,0.000000
0.951904,0.000000,0.000000
0.953908,0.000000,0.000000
0.955912,0.000000,0.000000
0.957916,0.000000,0.000000
0.959920,0.000000,0.000000
0.961924,0.000000,0.000000
0.963928,0.000000,0.000000
0.965932,0.000000,0.000000
0.967936,0.000000,0.000000
0.969940,0.000000,0.000000
0.971944,0.000000,0.000000
0.973948,0.000000,0.000000
0.975952,0.000000,0.000000
0.977956,0.000000,0.000000
0.979960,0.000000,0.000000
0.981964,0.000000,0.000000
0.983968,0.000000,0.000000
0.985972,0.000000,0.000000
0.987976,0.000000,0.000000
0.989980,0.000000,0.000000
0.991984,0.000000,0.000000
0.993988,0.000000,0.000000
0.995992,0.000000,0.000000
0.997996,0.000000,0.000000
1.000000,0.000000,0.000000
0.701403,0.000000,0.000000
0.703407,0.000000,0.000000
0.699399,0.000000,0.000000
0.697395,0.000000,0.000000
0.695391,0.000000,0.000000
0.693387,0.000000,0.000000
0.691383,0.000000,0.000000
0.689379,0.000000,0.000000
0.687375,0.000000,0.000000
0.685371,0.000000,0.000000
0.683367,0.000000,0.000000
0.681363,0.000000,0.000000
0.679359,0.000000,0.000000
0.677355,0.000000,0.000000
0.675351,0.000000,0.000000
0.673347,0.000000,0.000000
0.671343,0.000000,0.000000
0.669339,0.000000,0.000000
0.667335,0.000000,0.000000
0.665331,0.000000,0.000000
0.663327,0.000000,0.000000
0.661323,0.000000,0.000000
0.659319,0.000000,0.000000
0.657315,0.000000,0.000000
0.655311,0.000000,0.000000
0.653307,0.000000,0.000001
0.651303,0.000000,0.000001
0.649299,0.000000,0.000001
0.647295,0.000000,0.000001
0.645291,0.000000,0.000002
0.643287,0.000000,0.000002
0.641283,0.000000,0.000003
0.639279,0.000000,0.000004
0.637275,0.000000,0.000006
0.635271,0.000000,0.000007
0.633267,0.000000,0.000010
0.631263,0.000000,0.000013
0.629259,0.000000,0.000017
0.627255,0.000000,0.000021
0.625251,0.000000,0.000028
0.623246,0.000000,0.000036
0.621242,0.000000,0.000046
0.619238,0.000000,0.000058
0.617234,0.000000,0.000074
0.615230,0.000000,0.000094
0.613226,0.000000,0.000118
0.611222,0.000000,0.000149
0.609218,0.000000,0.000187
0.607214,0.000000,0.000233
0.605210,0.000000,0.000290
0.603206,0.000000,0.000359
0.601202,0.000000,0.000444
0.599198,0.000000,0.000547
0.597194,0.000000,0.000671
0.595190,0.000000,0.000820
0.593186,0.000000,0.000999
0.591182,0.000001,0.001213
0.589178,0.000001,0.001469
0.587174,0.000001,0.001771
0.585170,0.000002,0.002130
0.583166,0.000002,0.002552
0.581162,0.000003,0.003048
0.579158,0.000003,0.003629
0.577154,0.000005,0.004306
0.575150,0.000006,0.005094
0.573146,0.000008,0.006006
0.571142,0.000010,0.007059
0.569138,0.000013,0.008271
0.567134,0.000017,0.009660
0.565776,0.000020,0.010713
0.565130,0.000021,0.011248
0.563126,0.000027,0.013056
0.561122,0.000035,0.015108
0.559118,0.000044,0.017430
0.557114,0.000056,0.020048
0.555110,0.000071,0.022990
0.553106,0.000089,0.026285
0.551102,0.000112,0.029964
0.549098,0.000140,0.034056
0.547094,0.000174,0.038595
0.545090,0.000217,0.043611
0.543086,0.000268,0.049138
0.541082,0.000331,0.055207
0.539078,0.000407,0.061850
0.537074,0.000498,0.069097
0.535070,0.000609,0.076977
0.533066,0.000742,0.085519
0.531062,0.000901,0.094747
0.529058,0.001091,0.104685
0.527054,0.001317,0.115353
0.525050,0.001584,0.126768
0.523046,0.001900,0.138942
0.521042,0.002273,0.151885
0.519038,0.002710,0.165601
0.517034,0.003221,0.180089
0.515030,0.003817,0.195345
0.513026,0.004511,0.211358
0.511022,0.005314,0.228112
0.509018,0.006242,0.245585
0.507014,0.007311,0.263750
0.505010,0.008537,0.282575
0.503006,0.009940,0.302020
0.501002,0.011540,0.322044
0.498998,0.013359,0.342598
0.496994,0.015420,0.363628
0.494990,0.017748,0.385078
0.492986,0.020370,0.406887
0.490982,0.023312,0.428989
0.488978,0.026605,0.451319
0.486974,0.030277,0.473806
0.484970,0.034360,0.496380
0.482966,0.038886,0.518970
0.480962,0.043886,0.541502
0.478958,0.049393,0.563907
0.476954,0.055439,0.586114
0.474950,0.062056,0.608054
0.472946,0.069275,0.629662
0.470942,0.077126,0.650874
0.468938,0.085637,0.671633
0.466934,0.094836,0.691881
0.464930,0.104746,0.711569
0.462926,0.115389,0.730651
0.460922,0.126782,0.749085
0.458918,0.138941,0.766838
0.456914,0.151875,0.783878
0.454910,0.165592,0.800182
0.452906,0.180091,0.815731
0.450902,0.195370,0.830512
0.448898,0.211419,0.844517
0.446894,0.228224,0.857744
0.444890,0.245764,0.870196
0.442886,0.264014,0.881879
0.440882,0.282942,0.892805
0.438878,0.302510,0.902990
0.436874,0.322675,0.912453
0.434870,0.343391,0.921215
0.432866,0.364602,0.929302
0.430862,0.386252,0.936742
0.428858,0.408279,0.943562
0.426854,0.430616,0.949794
0.424850,0.453196,0.955470
0.422846,0.475947,0.960622
0.420842,0.498795,0.965282
0.418838,0.521668,0.969483
0.416834,0.544490,0.973257
0.414830,0.567186,0.976637
0.412826,0.589684,0.979652
0.410822,0.611912,0.982334
0.408818,0.633801,0.984711
0.406814,0.655285,0.986809
0.404810,0.676301,0.988656
0.402806,0.696791,0.990276
0.400802,0.716702,0.991692
0.398798,0.735985,0.992924
0.396794,0.754597,0.993994
0.394790,0.772500,0.994919
0.392786,0.789664,0.995716
0.390782,0.806063,0.996400
0.388778,0.821677,0.996985
0.386774,0.836494,0.997483
0.384770,0.850504,0.997907
0.382766,0.863707,0.998265
0.380762,0.876106,0.998567
0.378758,0.887709,0.998820
0.376754,0.898528,0.999033
0.374749,0.908582,0.999209
0.372745,0.917891,0.999356
0.370741,0.926480,0.999478
0.368737,0.934377,0.999578
0.366733,0.941610,0.999660
0.364729,0.948212,0.999727
0.362725,0.954216,0.999782
0.360721,0.959656,0.999826
0.358717,0.964566,0.999862
0.356713,0.968983,0.999891
0.354709,0.972941,0.999914
0.352705,0.976474,0.999933
0.350701,0.979616,0.999948
0.348697,0.982400,0.999959
0.346693,0.984857,0.999968
0.344689,0.987017,0.999976
0.342685,0.988909,0.999981
0.340681,0.990559,0.999986
0.338677,0.991993,0.999989
0.336673,0.993235,0.999992
0.334669,0.994305,0.999994
0.332665,0.995224,0.999995
0.330661,0.996010,0.999996
0.328657,0.996679,0.999997
0.326653,0.997247,0.999998
0.324649,0.997727,0.999999
0.322645,0.998130,0.999999
0.320641,0.998469,0.999999
0.318637,0.998750,0.999999
0.316633,0.998985,1.000000
0.314629,0.999178,1.000000
0.312625,0.999338,1.000000
0.310621,0.999469,1.000000
0.308617,0.999576,1.000000
0.306613,0.999662,1.000000
0.304609,0.999733,1.000000
0.302605,0.999789,1.000000
0.300601,0.999834,1.000000
0.298597,0.999871,1.000000
0.296593,0.999899,1.000000
0.294589,0.999922,1.000000
0.292585,0.999940,1.000000
0.290581,0.999954,1.000000
0.288577,0.999965,1.000000
0.286573,0.999973,1.000000
0.284569,0.999980,1.000000
0.282565,0.999985,1.000000
0.280561,0.999989,1.000000
0.278557,0.999992,1.000000
0.276553,0.999994,1.000000
0.274549,0.999995,1.000000
0.272545,0.999997,1.000000
0.270541,0.999998,1.000000
0.268537,0.999998,1.000000
0.266533,0.999999,1.000000
0.264529,0.999999,1.000000
0.262525,0.999999,1.000000
0.260521,1.000000,1.000000
0.258517,1.000000,1.000000
0.256513,1.000000,1.000000
0.254509,1.000000,1.000000
0.252505,1.000000,1.000000
0.250501,1.000000,1.000000
0.248497,1.000000,1.000000
0.246493,1.000000,1.000000
0.244489,1.000000,1.000000
0.242485,1.000000,1.000000
0.240481,1.000000,1.000000
0.238477,1.000000,1.000000
0.236473,1.000000,1.000000
0.234469,1.000000,1.000000
0.232465,1.000000,1.000000
0.230461,1.000000,1.000000
0.228457,1.000000,1.000000
0.226453,1.000000,1.000000
0.224449,1.000000,1.000000
0.222445,1.000000,1.000000
0.220441,1.000000,1.000000
0.218437,1.000000,1.000000
0.216433,1.000000,1.000000
0.214429,1.000000,1.000000
0.212425,1.000000,1.000000
0.210421,1.000000,1.000000
0.208417,1.000000,1.000000
0.206413,1.000000,1.000000
0.204409,1.000000,1.000000
0.202405,1.000000,1.000000
0.200401,1.000000,1.000000
0.198397,1.000000,1.000000
0.196393,1.000000,1.000000
0.194389,1.000000,1.000000
0.192385,1.000000,1.000000
0.190381,1.000000,1.000000
0.188377,1.000000,1.000000
0.186373,1.000000,1.000000
0.184369,1.000000,1.000000
0.182365,1.000000,1.000000
0.180361,1.000000,1.000000
0.178357,1.000000,1.000000
0.176353,1.000000,1.000000
0.174349,1.000000,1.000000
0.172345,1.000000,1.000000
0.000000,1.000000,1.000000
0.002004,1.000000,1.000000
0.004008,1.000000,1.000000
0.006012,1.000000,1.000000
0.008016,1.000000,1.000000
0.010020,1.000000,1.000000
0.012024,1.000000,1.000000
0.014028,1.000000,1.000000
0.016032,1.000000,1.000000
0.018036,1.000000,1.000000
0.020040,1.000000,1.000000
0.022044,1.000000,1.000000
0.024048,1.000000,1.000000
0.026052,1.000000,1.000000
0.028056,1.000000,1.000000
0.030060,1.000000,1.000000
0.032064,1.000000,1.000000
0.034068,1.000000,1.000000
0.036072,1.000000,1.000000
0.038076,1.000000,1.000000
0.040080,1.000000,1.000000
0.042084,1.000000,1.000000
0.044088,1.000000,1.000000
0.046092,1.000000,1.000000
0.048096,1.000000,1.000000
0.050100,1.000000,1.000000
0.052104,1.000000,1.000000
0.054108,1.000000,1.000000
0.056112,1.000000,1.000000
0.058116,1.000000,1.000000
0.060120,1.000000,1.000000
0.062124,1.000000,1.000000
0.064128,1.000000,1.000000
0.066132,1.000000,1.000000
0.068136,1.000000,1.000000
0.070140,1.000000,1.000000
0.072144,1.000000,1.000000
0.074148,1.000000,1.000000
0.076152,1.000000,1.000000
0.078156,1.000000,1.000000
0.080160,1.000000,1.000000
0.082164,1.000000,1.000000
0.084168,1.000000,1.000000
0.086172,1.000000,1.000000
0.088176,1.000000,1.000000
0.090180,1.000000,1.000000
0.092184,1.000000,1.000000
0.094188,1.000000,1.000000
0.096192,1.000000,1.000000
0.098196,1.000000,1.000000
0.100200,1.000000,1.000000
0.102204,1.000000,1.000000
0.104208,1.000000,1.000000
0.106212,1.000000,1.000000
0.108216,1.000000,1.000000
0.110220,1.000000,1.000000
0.112224,1.000000,1.000000
0.114228,1.000000,1.000000
0.116232,1.000000,1.000000
0.118236,1.000000,1.000000
0.120240,1.000000,1.000000
0.122244,1.000000,1.000000
0.124248,1.000000,1.000000
0.126253,1.000000,1.000000
0.128257,1.000000,1.000000
0.130261,1.000000,1.000000
0.132265,1.000000,1.000000
0.134269,1.000000,1.000000
0.136273,1.000000,1.000000
0.138277,1.000000,1.000000
0.140281,1.000000,1.000000
0.142285,1.000000,1.000000
0.144289,1.000000,1.000000
0.146293,1.000000,1.000000
0.148297,1.000000,1.000000
0.150301,1.000000,1.000000
0.152305,1.000000,1.000000
0.154309,1.000000,1.000000
0.156313,1.000000,1.000000
0.158317,1.000000,1.000000
0.160321,1.000000,1.000000
0.162325,1.000000,1.000000
0.164329,1.000000,1.000000
0.166333,1.000000,1.000000
0.168337,1.000000,1.000000
0.170341,1.000000,1.000000
